Timestamp,Sex,Level,Field,Species,Organism,Degree,Programming_Exp,NGS_Exp,work_NGS,Experiment_type,Who_collect,Who_wet,Who_dry,NGS_machines,NGS_machine_type,Like_lectures,Dislike_lectures
24/02/2018 20:31:51,Male,Postdocs,"Genomics, Evolutionary biology","Fungi, Plants, Fish, Reptile/Amphibian, Bacteria, Bird, Eukaryotic microbe, Virus, Other microbe, Human",Yes,TIGP,Python,Very little,"Yes, extensively","Whole genome(s), Transcriptomes(s), Proteome(s)","option 2,3,4", except option #1 and may vary based on characteristics of the projects,"options 2,3,4","Yes, several","Illumina HiSeq, Illumina Miseq, Pacbio","Basic usage of Linux and R ; Practical I: R, Genome Assembly, Mapping and Case studies, From sequence to alignment to phylogenies, DNA/RNA preparation and different sequencing technologies, RNAseq: Genome annotation, Comparative Genomics, Population Genomics, Amplicon / Metagenomic, Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny",RNAseq: Differential Expression
24/02/2018 20:36:11,Male,Undergraduate,"Molecular Biology, Genomics, Genetics",Human,No,,Python,Very little,"Yes, extensively","Whole genome(s), Transcriptomes(s), Methylome(s), Proteome(s), Metabolome(s)",We don't have samples,I am,I am,No,,"Genome Assembly, Mapping and Case studies, From sequence to alignment to phylogenies, DNA/RNA preparation and different sequencing technologies, RNAseq: Differential Expression, RNAseq: Genome annotation, Comparative Genomics, Population Genomics, Amplicon / Metagenomic, Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny",Basic usage of Linux and R ; Practical I: R
24/02/2018 20:39:04,Male,Graduate (MSc / PhD student),"Ecology, Genomics, Genetics, Evolutionary biology","Nematdodes, Insect",No,TIGP,R,Extensive,"Yes, extensively","Whole genome(s), Transcriptomes(s)",I am,I am,I am,"Yes, several","Illumina HiSeq, Pacbio, Nanopore","Genome Assembly, Mapping and Case studies, From sequence to alignment to phylogenies, DNA/RNA preparation and different sequencing technologies, RNAseq: Differential Expression, RNAseq: Genome annotation, Comparative Genomics, Population Genomics, Amplicon / Metagenomic",Basic usage of Linux and R ; Practical I: R
24/02/2018 20:49:39,Male,Postdocs,"Ecology, Genomics, Evolutionary biology","Vertebrate, Archaea, Fungi, Virus, Plants, Bacteria",Partially / Some of them,TIGP,"R, Python, Others",Extensive,"Yes, a bit","Whole genome(s), Transcriptomes(s), Proteome(s), Metabolome(s), Single cell sequencing",Public / published / museums,Colleagues in our lab,I am,"Yes, several","Illumina HiSeq, Illumina Miseq, Pacbio","Basic usage of Linux and R ; Practical I: R, Genome Assembly, Mapping and Case studies, From sequence to alignment to phylogenies, DNA/RNA preparation and different sequencing technologies, RNAseq: Genome annotation, Comparative Genomics, Population Genomics, Amplicon / Metagenomic, Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny",RNAseq: Differential Expression
24/02/2018 20:50:38,Male,Research Institute,microbial fermentation,Bacteria,Yes,,"R, Python",Very little,"Yes, extensively","Whole genome(s), Amplicons (candidate loci ; for e.g., 16S, ITS)",I am and Collaborators,Outsource to a company / core facility,I am and Collaborators,No,,"From sequence to alignment to phylogenies, Comparative Genomics, Amplicon / Metagenomic, Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny",Population Genomics
24/02/2018 20:50:39,Male,Postdocs,"Molecular Biology, Genomics, Genetics",Human,Yes,,None,Very little,"Yes, extensively","Whole genome(s), Sequence capture (multiple targeted loci; for e.g., exomes), Amplicons (candidate loci ; for e.g., 16S, ITS), Non-coding RNAs",Public / published / museums,Outsource to a company / core facility,,"Yes, one to three","Illumina HiSeq, Illumina Miseq","Comparative Genomics, Population Genomics","Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny"
24/02/2018 21:02:33,Male,Postdocs,"Molecular Biology, Genetics",Human,Yes,,None,Very little,"Yes, a bit","Transcriptomes(s), Sequence capture (multiple targeted loci; for e.g., exomes)",Colleagues in our lab,Outsource to a company / core facility,Colleagues in our lab,"Yes, one to three","Illumina HiSeq, Illumina Miseq","Basic usage of Linux and R ; Practical I: R, RNAseq: Differential Expression, RNAseq: Genome annotation","Mapping and Case studies, DNA/RNA preparation and different sequencing technologies, Comparative Genomics, Amplicon / Metagenomic"
24/02/2018 21:09:32,Female,Postdocs,"Ecology, Genomics, Evolutionary biology","Fungi, Bacteria",Partially / Some of them,NCHU,R,Very little,"Yes, extensively",Whole genome(s),,,,"Yes, one to three","Illumina HiSeq, Illumina Miseq, Pacbio","Basic usage of Linux and R ; Practical I: R, Genome Assembly, RNAseq: Genome annotation, Comparative Genomics, Population Genomics, Amplicon / Metagenomic",From sequence to alignment to phylogenies
24/02/2018 21:17:09,Female,Faculties,Epidemiology ,Bacteria,Partially / Some of them,,"R, Python, Others",Very little,"Yes, a bit","Transcriptomes(s), Amplicons (candidate loci ; for e.g., 16S, ITS)",Field assistants,Lab technician ,I am,"Yes, but I can't use them","Illumina Miseq, Pacbio",Amplicon / Metagenomic,Basic usage of Linux and R ; Practical I: R
24/02/2018 21:18:51,Female,Graduate (MSc / PhD student),"Molecular Biology, Evolutionary biology",Fungi,Partially / Some of them,,None,None,"Yes, extensively","Whole genome(s), Amplicons (candidate loci ; for e.g., 16S, ITS)",Public / published / museums,Colleagues in our lab,Colleagues in our lab,"Yes, but I can't use them",Illumina HiSeq,"Basic usage of Linux and R ; Practical I: R, From sequence to alignment to phylogenies, Amplicon / Metagenomic, Practical II: Assembly and Mapping, Practical III: Sequence alignment + phylogeny",Population Genomics
